ID,SMILES,Molecular_Formula,Scaffold,MW,RDKit_LogP,GNN_LogP,TPSA,HBD,HBA,RotBonds,AromaticRings,LogS,SAscore,QED,RMSD,PAINS,Brenk,Pass_MW,Pass_LogP,Pass_TPSA,Pass_RotBonds,Pass_LogS,Pass_SAscore,Pass_QED,Lead_MW,Lead_LogP,Lead_RotBonds,Lead_Overall,TryS_HBD,TryS_HBA,TryS_Aromatic,TryS_Pass,Overall_Pass,Overall_Pass_Enhanced,SDF_Path
NCE_1,COC(=O)c1ccc(Nc2nc(N)nc(N)n2)cc1,C11H12N6O2,Triazine (Seed 1),260.26,0.5662,0.6567,129.04,3,8,3,2,0.066,2.2,0.683,0.4512,None,None,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Generated_Molecules_SDF\NCE_1.sdf
NCE_2,NC(=O)c1ccc(S(=O)(=O)Nc2ccccc2)cc1,C13H12N2O3S,Sulfonamide (Seed 2),276.32,1.5863,2.0011,89.26,2,3,4,2,1.086,2.4,0.888,0.5259,None,None,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Generated_Molecules_SDF\NCE_2.sdf
NCE_3,Nc1nc(N)nc(Nc2ccc(F)cc2)n1,C9H9FN6,Triazine (Seed 1),220.21,0.9187,0.5544,102.74,3,6,2,2,0.419,2.0,0.695,1.3229,None,None,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Generated_Molecules_SDF\NCE_3.sdf
NCE_4,COc1ccc(Nc2nc(N)nc(N)n2)cc1,C10H12N6O,Triazine (Seed 1),232.25,0.7882,0.5849,111.97,3,7,3,2,0.288,2.2,0.717,0.3539,None,None,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Generated_Molecules_SDF\NCE_4.sdf
NCE_5,N=C(N)Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1,C13H14N4O2S,Sulfonamide (Seed 2),290.35,1.7928,2.0342,108.07,4,3,4,2,1.293,2.4,0.508,0.6441,None,None,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Generated_Molecules_SDF\NCE_5.sdf
NCE_6,NCc1ccc(Nc2nc(N)nc(N)n2)cc1,C10H13N7,Triazine (Seed 1),231.26,0.2383,0.5971,128.76,4,7,3,2,-0.262,2.2,0.595,0.4357,None,None,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Generated_Molecules_SDF\NCE_6.sdf
NCE_7,Nc1nc(N)nc(Nc2ccc(C3CCNCC3)cc2)n1,C14H19N7,Triazine (Seed 1),285.35,1.2466,0.9663,114.77,4,7,3,2,0.747,2.2,0.67,1.4726,None,None,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Generated_Molecules_SDF\NCE_7.sdf
NCE_8,NCc1ccc(S(=O)(=O)Nc2ccccc2)cc1,C13H14N2O2S,Sulfonamide (Seed 2),262.33,1.9461,2.1136,72.19,2,3,4,2,1.446,2.4,0.884,0.4222,None,None,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Generated_Molecules_SDF\NCE_8.sdf
NCE_9,CS(=O)(=O)c1ccc(Nc2nc(N)nc(N)n2)cc1,C10H12N6O2S,Triazine (Seed 1),280.31,0.1831,1.9662,136.88,3,8,3,2,-0.317,2.2,0.724,0.3899,None,None,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Generated_Molecules_SDF\NCE_9.sdf
NCE_10,N#Cc1ccc(Nc2nc(N)nc(N)n2)cc1,C10H9N7,Triazine (Seed 1),227.23,0.6513,1.8019,126.53,3,7,2,2,0.151,2.0,0.687,1.3582,None,None,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Generated_Molecules_SDF\NCE_10.sdf
NCE_11,NS(=O)(=O)c1ccc(S(=O)(=O)Nc2ccccc2)cc1,C12H12N2O4S2,Sulfonamide (Seed 2),312.37,1.1348,2.0593,106.33,2,4,4,2,0.635,2.4,0.882,0.5094,None,None,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Generated_Molecules_SDF\NCE_11.sdf
